PDB	pKd
5cp5	5.909
4xt2	7.155
4wop	4.764
5lpk	5.514
5ml3	9.693
4c1w	9.409
4urz	2.523
5avf	5.495
3uvq	7.77
5u49	6.137
5eto	5.569
4mpe	6.371
3sfg	6.063
3k5v	6.301
4cu7	7.585
4xtp	4.256
5aip	2.824
4qf7	8.602
4ab9	3.332
5htb	6.77
4qkd	4.092
3lcu	3.523
5n18	5.678
3f38	2.62
5hrv	5.292
5x4q	7.108
3vx3	7.824
5eq1	4.678
4n7u	6.292
2xjx	9.149
5nkb	9.119
4iuo	3.638
5vfn	3.523
5vc4	7.36
4bj8	8.29
5fnr	4.229
5c2o	4.55
4dli	5.62
5i3y	9.398
4u54	2.06
4f8j	5.066
4ogj	6.785
4r4o	5.824
3k41	0.824
3gk4	3.921
5anu	9.398
5os5	3.387
3qx8	2.863
4je7	6.403
3iw8	4.873
5ih9	8.699
4xu2	9.228
3a5y	7.959
3el5	7.724
3umq	4.618
4ko8	7.155
4w9x	7.4
5dtt	3.509
5ikb	8.721
2yix	8.481
3fhb	5.699
4gq4	7.658
3dnt	4.745
5f08	5.523
5e7n	6.092
5ji8	4.631
5tb6	5.815
5tcj	7.377
5d3j	5.244
5ka1	4.481
5n16	5.301
5bv3	7.167
4p5z	7.406
3l8x	8.0
4knn	7.777
4n9c	3.9
4rlw	4.873
3l5b	3.91
4cjr	3.101
3zt3	2.862
3fgc	3.921
5a7b	3.567
2wq4	2.569
4aia	3.658
5cu4	6.495
4qiz	8.149
2rkn	7.222
4m12	6.046
3c79	7.201
3gcv	7.131
4whr	4.125
5vcv	6.824
3zso	5.119
4ibk	4.298
3vhc	8.886
4tu4	3.757
4jvb	7.409
5evz	6.569
4kmz	8.569
4dsu	2.824
5aqo	2.854
3zqe	4.229
5km3	4.604
4q07	8.137
5kxc	5.264
4jnj	9.071
3gy7	4.523
4x5r	7.854
3kqt	5.337
5nk4	8.699
5efc	4.851
5u4e	6.347
4mpc	6.148
4arw	7.131
4mr5	6.6
5nkh	7.585
5n58	6.097
4qjm	8.174
5igk	7.379
3hzm	5.523
4m0y	6.456
3ga5	5.495
5t9w	5.585
3okp	4.721
4eu0	6.398
4qj0	7.319
5wp5	5.337
3cr4	4.276
4agq	5.013
2vpn	6.721
5khi	6.77
5ggl	1.782
5il1	5.824
5vc6	7.866
4zl4	7.86
5m2q	7.523
4iaw	9.631
4u5n	2.481
4cfl	5.876
5i3w	9.222
5kej	5.108
4w9h	6.733
5mon	2.481
4ago	4.81
4pox	5.432
6b7e	4.553
5xg5	3.481
5fyx	4.157
5am7	7.19
5g5z	5.658
5edd	5.244
5aqh	2.456
5fh6	5.921
5ais	6.244
3imc	2.959
5vad	9.119
4d1j	6.314
4jwk	8.32
5faq	5.276
3haw	5.996
2xzc	5.638
5x13	5.208
2ygf	5.094
5tzd	5.745
4mgb	5.435
3nrz	5.337
3ryx	8.137
5ldk	4.174
5cyv	4.959
4g0y	2.302
4ab8	3.866
5anw	8.523
4dkr	6.523
4loj	6.523
3ocp	7.569
4z6h	6.213
5dtk	4.301
5v79	6.409
4qxo	5.506
3wtn	7.041
4p4t	4.387
4ibd	3.668
3rux	9.276
3b26	6.638
4a6s	5.201
4xya	5.863
4rd6	6.284
5eps	4.42
5hbn	4.889
4i7k	3.043
5f1j	4.921
4i3z	4.29
3nm6	1.347
4zow	4.125
2oz2	5.714
4g0q	2.523
4ayq	7.328
5jox	4.456
3qqa	5.824
3t1l	3.26
4rr6	6.0
4n7m	5.469
5fh8	6.77
4ahv	1.824
3pxf	4.432
3ubd	5.538
3hv8	6.982
4pxm	8.886
3acl	6.222
2w9h	6.367
5fh7	6.863
5aan	4.149
5epr	4.041
3lxo	4.824
5irr	5.268
5nzp	2.187
5km0	5.31
5fs5	6.685
4u0e	6.921
5etn	5.367
5uxf	7.06
5dkn	3.693
3tct	8.523
4pin	5.398
5aqj	2.678
4b5t	3.328
4rdn	5.921
4dko	6.523
5ka7	4.347
5x74	8.638
4y38	2.398
3buf	3.097
5cbs	5.409
5tzo	5.229
2w87	4.654
4pmm	7.569
2v57	7.102
3cow	6.903
3g3r	6.481
4y2q	2.921
4wyz	4.301
3r6u	4.516
3cr5	4.194
4loi	6.77
3c2o	3.347
5e8a	7.469
4r73	7.638
2weh	5.949
3l8s	7.004
4w9w	7.48
3zhz	7.046
4my6	5.62
5cp9	3.509
5f1x	6.108
4n6h	9.284
5osd	3.208
4knm	8.0
4rt0	5.504
2q88	5.796
5ehr	7.137
5nk3	7.42
3rw9	5.959
4dy6	4.398
3dp4	7.367
5anv	9.301
4pnu	4.886
3zsy	3.225
5nkd	7.585
5ito	4.162
5nvw	6.77
3r7o	8.357
5njz	7.796
4av0	6.98
5fb7	7.886
5nka	5.456
4fxq	5.77
4orx	3.527
2z8e	8.0
4wet	3.353
4ddh	3.301
3miy	7.678
3e5u	5.854
4aj2	2.377
5k03	4.745
3cft	4.194
2q2n	6.481
5nk2	6.74
3pgu	6.699
2wva	10.699
3tz4	5.495
4yhm	9.762
5i3a	5.046
3pcu	5.294
3ay9	8.342
5i2e	6.638
3kr2	5.143
4o3f	5.556
5vgy	4.184
2p7g	6.527
3f33	3.337
5ofw	2.796
4ahs	2.194
3q8h	4.155
5fa7	8.398
4mul	6.215
5dyo	10.215
4ih7	5.237
3f19	7.186
5eyr	5.301
3bbf	5.284
5m29	7.398
4i7p	3.499
3kqr	4.434
4r6w	5.268
5du4	5.252
4q0a	6.481
5nu3	6.638
4mg7	6.357
5u14	5.337
5ehe	8.319
4ih6	4.745
4ckj	4.845
5n34	4.633
3tao	5.138
2w8j	2.959
2zsc	7.06
5iw0	7.222
4omj	5.264
3qip	6.889
4v01	8.114
2w08	3.42
4eo6	8.699
2wor	3.903
4gny	4.222
4bi6	3.946
2vuk	3.903
5moe	3.284
2vvn	7.301
5n9r	5.585
4azb	7.239
4tz8	3.301
3wvm	5.71
2xxt	8.046
4pyx	6.137
3nhi	8.432
3juk	4.889
4kcx	4.432
4lph	5.036
2w4x	4.854
4b76	4.538
3ru1	4.848
4k10	6.923
4bup	4.951
4nbn	4.357
4o61	4.301
3ryv	7.066
4ggz	10.18
4fzj	3.155
4abk	5.721
3lf0	5.714
5eb3	1.453
3ppp	5.222
5htl	6.301
4zeb	6.523
4nzo	6.77
5cyi	5.883
3myg	10.699
4b3d	2.678
4wk1	5.886
3arw	6.155
4oi6	5.0
4z46	2.821
4glx	7.796
5nge	7.187
4rqk	5.824
5nf9	5.328
5d9p	3.201
5dbm	6.456
5fls	3.043
4yxi	6.496
2yaz	5.137
4lpg	4.255
3qnd	4.854
4fm7	7.244
3vw1	4.674
4xmb	7.357
5ahw	5.166
5cst	6.959
4np2	2.26
4ozj	5.398
2wvt	6.122
5ad1	7.237
5elv	6.796
4rww	5.854
4b74	7.658
5wa8	6.231
5d0r	6.367
4ww6	10.208
4r4c	5.538
3k00	5.77
3neo	5.921
4yz5	2.83
2y7k	4.928
5cqu	6.538
3tay	3.377
4aba	3.815
4ibj	4.328
4x5q	9.0
5dus	5.53
5vb5	6.456
4nra	4.187
3a1c	4.0
5jss	6.451
5gja	5.553
3kgu	5.921
4psb	4.638
3p3t	7.237
3kqm	3.77
4luo	3.237
4kot	5.456
3u10	5.444
4fxp	4.095
3u90	4.62
5h9p	7.167
3hqr	5.523
3p3s	7.585
5ehv	3.083
3eky	9.638
5ll9	6.079
2xn5	6.688
4rt1	6.137
2pqb	7.201
5gvm	6.73
4mmm	3.824
5jt9	6.633
5ewk	4.854
4ory	3.527
4yyt	6.379
5ll5	6.041
4w9d	4.991
4kii	6.229
3qt7	7.31
2xn3	5.922
5fut	6.453
3b28	8.469
3arp	7.155
3b82	4.432
3f37	2.62
5ewy	4.301
4b7p	9.461
3mf5	5.365
3iw6	5.483
3gcp	7.824
5mrm	5.032
4puk	7.281
3x00	9.081
3qxt	5.222
5ivj	7.337
5fdz	5.167
4knj	7.955
3kmy	4.495
2vc9	8.444
4igt	7.893
5ipc	4.886
3arz	6.0
2we3	4.432
5du8	5.721
5lvr	3.602
4c6u	4.592
4mr6	6.6
3f15	8.103
4uof	4.836
5htc	6.824
3f80	4.222
3zos	8.886
5lvd	2.62
4ih5	4.108
4ymg	4.678
3ueu	5.236
5ut4	4.377
5isl	7.284
5dtw	5.456
4u0w	3.0
5mnc	1.314
3mhm	7.0
4y4v	3.65
3zyh	4.288
3kpv	3.745
5d0c	5.631
3v3l	6.432
5nzq	2.032
4kov	3.753
5km1	6.178
5vd2	7.104
4c0r	4.914
4q4q	5.785
5v13	7.633
4x50	7.752
5yjm	7.678
3rsr	4.357
3ivx	5.745
2y4k	5.456
4qb3	5.469
4ibc	2.979
4wmx	4.851
4ijl	3.87
2ydw	7.337
3zm9	7.42
5luu	5.064
4jyc	6.699
3ttn	7.845
4rlt	4.963
5lvq	4.137
2wej	6.076
5mz8	2.31
5u11	5.347
4zba	5.51
5flt	2.893
5u0e	5.114
4c5d	5.398
3evc	6.907
4efg	7.26
5wqj	5.523
3zyu	7.0
3rlb	9.921
4h7q	5.056
4ce2	3.842
4asj	7.553
5gvn	7.046
3ttm	8.523
3fzn	4.013
3tc5	5.167
5f0f	6.0
3uev	5.889
5lz7	6.276
4f5y	5.432
4e1k	6.301
5x4m	2.921
5bw4	4.167
5u0f	5.469
4flp	6.721
5hjq	4.721
4glw	6.097
4dbm	7.62
5ufp	7.372
3vw2	4.747
4rpo	7.642
3t4n	4.143
4fqo	5.161
4x21	7.444
4rpn	6.959
5dlz	5.745
4emr	7.493
4fil	7.469
4u5v	3.046
5ehw	2.998
3dsz	7.767
3p7i	7.701
3gvu	8.0
5c7n	6.569
4kxn	6.097
4ywa	7.553
5vd1	6.004
5lom	7.13
2xtn	7.398
5ea4	8.108
5mrp	5.523
4his	8.092
4euo	5.046
5ey4	3.125
5vs6	6.983
4ah9	2.456
4g0z	2.213
5doh	7.495
5l8o	3.382
4ayp	6.122
5k7h	6.004
2z97	6.0
3w07	3.377
4m5h	4.538
3guz	4.377
2q7y	4.301
3n75	7.893
5tci	6.879
4bcq	6.833
4oru	3.678
3m6r	7.495
5f3t	3.678
5b2d	4.252
4abb	4.509
5aom	2.896
2vmf	5.854
3uil	6.0
4y24	6.658
5u4b	5.745
3bwk	3.943
3f8c	7.678
5ai1	6.469
3okc	4.438
4tun	5.412
2z92	9.097
4dn0	5.721
5km5	6.917
4f6w	7.523
4zyf	8.638
4pd6	4.444
4att	6.98
4kby	6.73
3i9g	8.959
5u0g	4.582
2xm1	5.071
3f6e	2.383
4ock	5.081
4qnb	6.585
5n31	5.793
4ipn	3.389
3p9t	6.201
4bkt	3.62
5n84	7.959
5orr	3.77
5tya	4.483
3a1d	4.125
4g0p	3.009
5itp	5.004
5l2s	7.081
4r91	6.367
3heg	6.745
2wic	5.387
4gv8	6.495
3ck8	3.836
3vws	3.648
3wgg	4.399
3c2f	1.996
3gcu	6.783
4m3p	5.398
5kab	4.678
4ycu	5.481
4u43	4.319
4luv	2.854
5fns	5.398
3vjc	7.724
3gy3	5.627
4q4r	6.433
4gu9	4.367
5aqv	3.432
3m3x	6.824
3dkj	5.699
3rz5	7.886
4ddm	2.456
3mss	4.658
5d3t	4.921
5aqz	5.481
4zvi	6.328
2vo4	4.936
4deu	5.64
3hcm	3.301
3w9k	6.319
5x4n	4.167
5am6	6.733
5btx	3.553
5lpl	4.921
3nq3	3.777
4w9i	5.959
3n6k	6.745
5ia2	7.721
4w55	4.745
4tkb	5.592
5tbe	8.975
2jg8	6.301
5mro	5.699
5eje	5.602
5igm	7.38
4x3t	4.539
5h9s	4.06
3myq	7.523
3hww	7.125
4qpd	7.824
3a1e	2.658
4au7	4.764
4jc1	4.301
4ovh	4.854
5vsc	6.292
5tco	8.19
5hu9	7.616
5my8	7.143
5ioz	4.959
4q4p	6.39
4u4s	2.921
5ech	3.796
5x4p	5.032
4pow	6.301
3atv	5.336
4ly1	7.258
2wkt	4.31
5tuz	7.398
5lwd	6.244
4pf5	5.481
4tpw	4.688
3v2p	6.357
5f3z	4.538
5usy	7.509
4lp6	8.271
4f6u	6.155
5fnj	2.288
4dcy	4.52
5i9x	7.523
5vsd	7.244
5hbs	7.733
4r75	7.244
4b32	3.337
4xy9	5.332
4ge1	6.432
2p3i	3.481
3td4	5.658
4ajn	7.161
5kbf	8.921
3s0e	6.553
4buq	8.137
4mg5	5.344
4l51	3.002
2vx9	7.444
4pul	6.835
3ed0	6.347
2rin	4.0
3ekx	9.409
4cst	8.886
5acw	3.839
2yek	7.213
5d3p	5.131
3gcs	7.252
4nl1	3.886
4k55	5.514
3atu	8.301
5a81	5.538
5goe	4.34
3bxf	5.542
5hva	7.066
4fmu	6.444
5j6a	7.77
3g5d	7.959
4mrf	1.951
5ivy	6.444
3qps	5.602
4zei	5.876
5etp	6.155
4m5g	5.013
5flp	3.2
4bqh	5.588
5ewh	3.77
4eo8	8.155
5ett	6.229
4w9k	6.536
4wvl	6.883
3r1v	6.921
5cxa	8.046
5fnu	8.886
4yxo	7.039
4d52	3.111
4usi	4.41
5vdp	4.051
2v59	7.745
2xuz	7.398
5wyx	6.658
5ut0	5.878
5c5h	6.405
4loo	8.155
4nxu	5.538
4m5m	4.745
4y3y	2.347
3le8	6.066
5h9q	4.42
4pp3	7.824
4aq6	4.801
3el9	8.398
5fsx	2.721
5lla	7.724
5w99	4.678
5eci	3.796
4og3	6.545
4gui	3.638
5l9g	7.703
5i80	7.208
2xib	7.259
5hrx	5.292
4n07	6.456
3udv	5.593
4dkp	5.721
3s9t	6.824
3kv2	7.323
3bxh	4.025
5hvs	7.149
5k4z	6.155
3s71	8.638
4uye	8.02
5d3x	6.357
3arv	5.638
3hmp	5.489
3gnw	9.102
4cl6	5.393
5mnx	2.481
3mho	6.495
4rqv	5.046
4x5y	8.032
5fol	3.668
5nvx	7.046
3po1	4.022
3kyq	4.222
5ugh	6.77
5vsf	7.027
4zec	5.824
4q08	6.301
3nex	6.0
4j8t	6.775
3cpj	4.724
3udd	7.102
3lgs	4.606
4qtl	6.921
3coy	6.018
2yki	9.456
3wqm	6.252
2wq5	3.745
5lwm	8.873
5mi5	6.77
5alc	8.131
3sl1	3.585
5ezg	4.921
5aba	2.983
3mam	4.119
5n55	5.987
5v5y	7.873
2zdn	6.25
5ct1	1.52
2p7a	6.103
4ahu	2.268
4wiv	6.26
3pyy	6.863
4dew	7.0
3l6h	5.398
